exp_name,epochs,num_users,frac,local_ep,local_bs,lr,model,optimizer,dataset,num_classes,iid,unequal
federated,500,100,0.0,1,1000,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,1.0,1,1000,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,2.0,1,1000,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,0.5,1,1000,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,1.0,1,1000,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,0.0,1,10,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,1.0,1,10,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,2.0,1,10,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,0.5,1,10,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,1.0,1,10,0.1,mlp,sgd,mnist,10,1,0
federated,500,100,0.0,1,1000,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,1.0,1,1000,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,2.0,1,1000,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,0.5,1,1000,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,1.0,1,1000,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,0.0,1,10,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,1.0,1,10,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,2.0,1,10,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,0.5,1,10,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,1.0,1,10,0.1,mlp,sgd,mnist,10,0,0
federated,500,100,0.0,5,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,1.0,5,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,2.0,5,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.5,5,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,1.0,5,1000,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,0.0,5,10,0.1,cnn,sgd,mnist,10,1,0
federated,500,100,1.0,5,10,0.1,cnn,sgd,mnist,10,1,0
